Class,Intercept,Coef_0,Coef_1,Coef_2,Coef_3,Coef_4,Coef_5
Ravenclaw,9.161060055543116,0.17036255811849502,0.2790009517583444,0.053694257047897626,0.0045736737735443235,-0.04019572138371728,-0.009982988476747131
Slytherin,-19.07232638478075,-0.24175761956114655,0.21009840273605213,-0.4500617882831933,-0.0013113426403184476,0.09560944677717012,0.01623904782818044
Gryffindor,33.547963544003586,-0.18484895956449393,-0.06376980042263032,0.2423704901963925,-0.00015146235052276207,-0.26591340036116234,-0.03533791522282209
Hufflepuff,-26.33850646163247,0.30795989465659024,-0.49616993199733816,-0.013306908701358705,-0.0028288563894682444,0.21713804429045283,0.02188676762942558
