Class,Intercept,Coef_0,Coef_1,Coef_2,Coef_3,Coef_4,Coef_5
Ravenclaw,8.863719680820035,0.18269499069628684,0.270127254516591,0.036052880134044785,0.004658581967874505,-0.07738990525992152,-0.009664687304600156
Hufflepuff,-22.861653982360867,0.3071877440622978,-0.4907457856802852,-0.0198364863743331,-0.002843737407148005,0.25099975412547726,0.018414119827364146
Gryffindor,29.240665762389348,-0.17321528528048358,-0.0607795214213138,0.2568295253402656,-3.341855422707014e-05,-0.2962958262405429,-0.030931222176402238
Slytherin,-20.71729403018271,-0.22035691268983074,0.2135035745786138,-0.4612937391425357,-0.001423331365326765,0.10856335126607329,0.017894600491494196
